Company,Ticker,Sector,PE Ratio,52 Week High,52 Week Low,Avg Volume,Market Cap
Belden Inc.,BDC,Technology,19.11354,131.82,81.02,315900,3647533568
BlackRock Enhanced Equity Dividend Trust,BDJ,Financial Services,8.908751,9.07,7.16,459329,1387195648
Brandywine Realty Trust,BDN,Real Estate,,6.54,3.41,2580962,648227968
"Becton, Dickinson and Company",BDX,Healthcare,32.889732,251.99,193.03,2181142,56096133120
Bloom Energy Corporation,BE,Industrials,,29.825,9.02,7112204,3751517696
Bright Scholar Education Holdings Limited,BEDU,Consumer Defensive,,2.418,1.35,11763,44737932
KE Holdings Inc.,BEKE,Real Estate,40.79787,26.045,12.58,10887265,24312555520
"Franklin Resources, Inc.",BEN,Financial Services,27.023438,25.69,16.25,4706744,9086758912
Brookfield Renewable Partners L.P.,BEP,Utilities,,29.56,19.29,780709,13254035456
Brookfield Renewable Corporation,BEPC,Utilities,20.293512,35.14,22.26,1181314,4763596800
,BEPH,,,18.74,13.958,37137,
,BEPI,,,19.19,14.49,16777,
,BEPJ,,,26.67,21.06,14159,
"Berry Global Group, Inc.",BERY,Consumer Cyclical,14.768805,74.24,51.12948,1886755,7730228736
,BF.A,,,,,,
,BF.B,,,,,,
Bright Horizons Family Solutions Inc.,BFAM,Consumer Cyclical,47.366665,141.9,100.59,463801,6520025600
"Bread Financial Holdings, Inc.",BFH,Financial Services,8.216607,66.71,33.58,1023739,2191419392
BlackRock Municipal Income Trust,BFK,Financial Services,46.649998,10.72,8.83,105024,409165280
"Butterfly Network, Inc.",BFLY,Healthcare,,4.98,0.674,4134839,547791424
"Saul Centers, Inc.",BFS,Real Estate,20.110428,42.39,31.59,51852,1121492224
BlackRock California Municipal Income Trust,BFZ,Financial Services,79.61539,12.23,10.17,90204,311158272
Bunge Global SA,BG,Consumer Defensive,9.86358,114.92,67.4,1814226,10558017536
Blackstone Strategic Credit 2027 Term Fund,BGB,Financial Services,9.176001,12.69,10.47,196519,512300672
Barings Global Short Duration High Yield Fund,BGH,Financial Services,6.576191,16.34,12.52,84350,277088000
BlackRock Energy and Resources Trust,BGR,Financial Services,24.999792,13.94,11.08,104590,313304192
"B&G Foods, Inc.",BGS,Consumer Defensive,,11.72,5.45,2084606,535369920
"BGSF, Inc.",BGSF,Industrials,,9.26,2.91,19921,33341770
BlackRock Floating Rate Income Trust,BGT,Financial Services,10.503062,13.97,10.21,136149,297539840
Blackstone Long-Short Credit Income Fund,BGX,Financial Services,9.100853,13.24,10.71,75301,149196704
BlackRock Enhanced International Dividend Trust,BGY,Financial Services,47.63636,5.9,4.67,362701,486994592
Biglari Holdings Inc.,BH,Consumer Cyclical,,271.35,159.69,4521,674342400
Bausch Health Companies Inc.,BHC,Healthcare,,9.85,3.96,2743724,1720222720
"Benchmark Electronics, Inc.",BHE,Technology,20.238373,52.57,29.52,428522,1256487936
BlackRock Core Bond Trust,BHK,Financial Services,55.777775,12.1,9.79,130744,543368832
"Berkshire Hills Bancorp, Inc.",BHLB,Financial Services,16.335665,32.36,20.76,529844,1083397120
BHP Group Limited,BHP,Basic Materials,10.472098,63.21,39.73,3087329,1.19041E+11
Braemar Hotels & Resorts Inc.,BHR,Real Estate,,3.95,1.83,278700,141397696
BlackRock Virginia Municipal Bond Trust,BHV,Financial Services,56.666664,11.76,10.2,3626,16201272
Biohaven Ltd.,BHVN,Healthcare,,55.7,15.79,1184467,2114786688
"BILL Holdings, Inc.",BILL,Technology,101.974365,100.19,36.55,3179490,4054432256
"Bio-Rad Laboratories, Inc.",BIO,Healthcare,,387.99,215.38,352872,6657008640
,BIO.B,,,,,,
